CPD_UNIT,STAR1,FIRST_NAME,LAST_NAME,MI,RANK
014,1697,WOODIE,GIBSON,D,SERGEANT OF POLICE
005,11648,LOUIS,JONES,L,POLICE OFFICER
050,7048,SEAN,MARRON,P,POLICE OFFICER
701,17196,THOMAS,KIDD,L,POLICE OFFICER
610,21003,MICHAEL,HENNELLY,T,PO AS DETECTIVE
620,20385,BRIDGET,MC LAUGHLIN,,PO AS DETECTIVE
016,7433,MARTIN,LOPEZ,J,PO/FIELD TRNING OFF
009,19169,PAUL,GREENAN,T,POLICE OFFICER
025,48,MICHAEL,BARZ,J,CAPTAIN OF POLICE
009,3102,LISA,ROCCO-PIGNATO,M,POLICE OFFICER
024,4301,ED,KELLY,F,POLICE OFFICER
008,555,JASON,VUCKO,M,LIEUTENANT OF POLICE
376,19641,SAHARAT,SAMPIM,C,POLICE OFFICER
005,13215,MICHELE,COLBERT,R,POLICE OFFICER
606,20946,AMALIO,CORRAL,,PO AS DETECTIVE
015,18533,DANNY,FLEISCHHACKER,J,PO/FIELD TRNING OFF
002,19044,MARK,RODRIGUEZ,C,POLICE OFFICER
620,21805,PABLO,DELGADO JR,,PO AS DETECTIVE
114,9963,JUWANA,WILLIAMS,J,POLICE OFFICER
602,12162,MAUREEN,SAKALAS,A,POLICE OFFICER
630,21289,JAMES,GILLESPIE,C,PO AS DETECTIVE
019,1820,WILLIAM,BERNATH,J,SERGEANT OF POLICE
620,20063,MARC,DELFAVERO,C,PO AS DETECTIVE
008,18650,THOMAS,LOEB,,POLICE OFFICER
051,13442,FRANCISCO,JOTAUTAS,M,POLICE OFFICER
014,19770,RICKY,PODGORNY,A,POLICE OFFICER
610,21284,ANDREW,PEROSTIANIS,J,PO AS DETECTIVE
059,18812,WILLIAM,BROWN,R,PO/MARINE OFFICER
020,1039,MARK,STRUKE,W,SERGEANT OF POLICE
213,2248,MICHAEL,STACK,J,SERGEANT OF POLICE
620,20428,JOHN,PILARCZYK,S,PO AS DETECTIVE
015,3057,ANDREW,CASSARO,M,POLICE OFFICER
116,5536,JAMES,ROBINSON,G,POLICE OFFICER
050,9302,THOMAS,YOUNG,P,POLICE OFFICER
115,13812,MARIA,CORNEJO-NALLEN,E,POLICE OFFICER
050,13776,KATHLEEN,STROUSE,M,POLICE OFFICER
018,2030,JOSEPH,CONSIDINE,M,SERGEANT OF POLICE
620,20191,JAMES,MOLONEY,T,PO AS DETECTIVE
603,1547,KEVIN,FLANIGAN,T,SERGEANT OF POLICE
121,12491,RENEE,CONTRERAS,P,POLICE OFFICER
005,18907,NEKEETA,LOGAN,R,POLICE OFFICER
010,49,GILBERTO,CALDERON,,COMMANDER
124,535,JEANETTE,FLYNN,M,LIEUTENANT OF POLICE
543,2614,ALAN,KURTH,D,SERGEANT OF POLICE
213,2301,MICHAEL,TANTILLA,A,SERGEANT OF POLICE
012,2636,STEPHEN,BURKE,F,SERGEANT OF POLICE
016,5577,MICHAEL,SMITKA,J,POLICE OFFICER
171,9347,ROBERT,PIZZO,M,POLICE OFFICER
121,15302,PATRICIA,GALLAGHER,A,POLICE OFFICER
376,15344,IRIS,FLORES,C,POLICE OFFICER
005,583,CHRISTOPH,PETTIS,,LIEUTENANT OF POLICE
007,789,MILAN,BUBALO,M,LIEUTENANT OF POLICE
018,202,KAROLY,HAJDU,R,LIEUTENANT OF POLICE
008,201,RICHARD,MORAVEC,E,LIEUTENANT OF POLICE
341,13953,MICHAEL,DOUGAN,K,PO ASSG CANINE HANDL
051,10241,KIMBERLY,LANSDOWN,,POLICE OFFICER
610,21079,CHRISTIAN,TITO,M,PO AS DETECTIVE
630,20498,GABRIEL,GOMEZ,,PO AS DETECTIVE
050,12242,HECTOR,ROMERO JR,,POLICE OFFICER
050,15851,GINA,LIBERTI,S,POLICE OFFICER
015,6824,TAWANDA,JOHNSON,L,POLICE OFFICER
006,9816,GEORGE,NEWELL,G,POLICE OFFICER
153,13446,TERRENCE,JACKSON,A,POLICE OFFICER
016,15636,LEON,TEFFT,J,POLICE OFFICER
129,1115,SEAN,O SULLIVAN,P,SERGEANT OF POLICE
050,5899,ANTHONY,BARSANO,,POLICE OFFICER
181,21277,GREGORY,ANDRAS,A,PO AS DETECTIVE
006,18507,ANTHONY,HOLCOMB,J,POLICE OFFICER
002,994,RANDALL,BACON,H,SERGEANT OF POLICE
376,18783,WAYNE,KENEIPP,R,POLICE OFFICER
005,3828,RITA,HARPER,R,POLICE OFFICER
002,14947,EVERLY,COLE,V,POLICE OFFICER
009,18500,JOHN,HAGGERTY,C,POLICE OFFICER
620,20762,DE ANDRE,REDD,,PO AS DETECTIVE
610,21409,JUANITA,RICHARDSON,,PO AS DETECTIVE
018,9565,JASON,BRANDSTETTER,P,POLICE OFFICER
001,10609,KEITH,BERGGREN,J,POLICE OFFICER
606,20817,KEVIN,EBERLE,R,PO AS DETECTIVE
001,18577,BARBARA,TRAYLOR,A,POLICE OFFICER
142,2292,VELMA,GUERRERO,,SERGEANT OF POLICE
610,20061,SCOTT,SHEWCHUK,E,PO AS DETECTIVE
050,11463,PAUL,PIERSON,L,POLICE OFFICER
620,20166,PAUL,STAUDACHER,C,PO AS DETECTIVE
020,190,CHARLES,BATTAGLIA,D,LIEUTENANT OF POLICE
277,17629,ZBIGNIEW,NIEWDACH,M,POL FORENSIC INV I
630,20342,CARYL,GIORDANO,L,PO AS DETECTIVE
121,5587,MICHAEL,GARBO,A,POLICE OFFICER
133,16690,JASON,ARENDS,M,POLICE OFFICER
008,8488,ELADIO,GASPAR,,POLICE OFFICER
020,185,JASON,CLARK,T,LIEUTENANT OF POLICE
016,7176,ANTHONY,LAFATA,B,POLICE OFFICER
610,21256,TIMOTHY,BURY,M,PO AS DETECTIVE
012,6205,ROBERT,HOULIHAN,M,POLICE OFFICER
341,4323,TARA,POREMBA,M,PO ASSG CANINE HANDL
025,19400,JAMES,WITT,L,POLICE OFFICER
014,19255,ENRIQUE,BADILLO,,POLICE OFFICER
024,534,JOHN,SZMYD,B,LIEUTENANT OF POLICE
620,21426,DONALD,HILL,W,PO AS DETECTIVE
630,18808,JOYCE,TOKARZ,A,POLICE OFFICER
051,6186,ERIC,FRENZEL,L,POLICE OFFICER
184,573,PATRICIA,CASEY,A,COMMANDER
701,1166,MAUREEN,VINCENT,L,SERGEANT OF POLICE
620,20440,MAJDI,SHALABI,A,PO AS DETECTIVE
620,20019,DAVID,SCARRIOT,A,PO AS DETECTIVE
016,10841,GARY,KILLMER,S,POLICE OFFICER
079,21420,LYZETTE,DAVID,,PO AS DETECTIVE
125,3744,NEAL,IVERS,P,POLICE OFFICER
620,20353,RICHARD,SULLIVAN,J,PO AS DETECTIVE
